"protein"	"Time"	"Cow"	"Diet"
3.63	1	"B01"	"barley"
3.57	2	"B01"	"barley"
3.47	3	"B01"	"barley"
3.65	4	"B01"	"barley"
3.24	1	"B02"	"barley"
3.25	2	"B02"	"barley"
3.29	3	"B02"	"barley"
3.09	4	"B02"	"barley"
3.98	1	"B03"	"barley"
3.6	2	"B03"	"barley"
3.43	3	"B03"	"barley"
3.3	4	"B03"	"barley"
3.66	1	"B04"	"barley"
3.5	2	"B04"	"barley"
3.05	3	"B04"	"barley"
2.9	4	"B04"	"barley"
4.34	1	"B05"	"barley"
3.76	2	"B05"	"barley"
3.68	3	"B05"	"barley"
3.51	4	"B05"	"barley"
4.36	1	"B06"	"barley"
3.71	2	"B06"	"barley"
3.42	3	"B06"	"barley"
3.95	4	"B06"	"barley"
4.17	1	"B07"	"barley"
3.6	2	"B07"	"barley"
3.52	3	"B07"	"barley"
3.1	4	"B07"	"barley"
4.4	1	"B08"	"barley"
3.86	2	"B08"	"barley"
3.56	3	"B08"	"barley"
3.32	4	"B08"	"barley"
3.4	1	"B09"	"barley"
3.42	2	"B09"	"barley"
3.51	3	"B09"	"barley"
3.39	4	"B09"	"barley"
3.75	1	"B10"	"barley"
3.89	2	"B10"	"barley"
3.65	3	"B10"	"barley"
3.42	4	"B10"	"barley"
4.2	1	"B11"	"barley"
3.59	2	"B11"	"barley"
3.55	3	"B11"	"barley"
3.27	4	"B11"	"barley"
4.02	1	"B12"	"barley"
3.76	2	"B12"	"barley"
3.6	3	"B12"	"barley"
3.53	4	"B12"	"barley"
4.02	1	"B13"	"barley"
3.9	2	"B13"	"barley"
3.73	3	"B13"	"barley"
3.55	4	"B13"	"barley"
3.9	1	"B14"	"barley"
3.33	2	"B14"	"barley"
3.25	3	"B14"	"barley"
3.22	4	"B14"	"barley"
3.81	1	"B15"	"barley"
4	2	"B15"	"barley"
3.57	3	"B15"	"barley"
3.47	4	"B15"	"barley"
3.62	1	"B16"	"barley"
3.22	2	"B16"	"barley"
3.62	3	"B16"	"barley"
3.02	4	"B16"	"barley"
3.66	1	"B17"	"barley"
3.66	2	"B17"	"barley"
3.28	3	"B17"	"barley"
3.1	4	"B17"	"barley"
4.44	1	"B18"	"barley"
3.85	2	"B18"	"barley"
3.55	3	"B18"	"barley"
3.22	4	"B18"	"barley"
4.23	1	"B19"	"barley"
3.75	2	"B19"	"barley"
3.82	3	"B19"	"barley"
3.6	4	"B19"	"barley"
3.82	1	"B20"	"barley"
3.27	3	"B20"	"barley"
3.33	4	"B20"	"barley"
3.53	1	"B21"	"barley"
3.1	2	"B21"	"barley"
3.9	3	"B21"	"barley"
3.48	4	"B21"	"barley"
4.47	1	"B22"	"barley"
3.86	2	"B22"	"barley"
3.34	3	"B22"	"barley"
3.49	4	"B22"	"barley"
3.93	1	"B23"	"barley"
3.79	2	"B23"	"barley"
3.68	3	"B23"	"barley"
3.58	4	"B23"	"barley"
3.27	1	"B24"	"barley"
3.84	2	"B24"	"barley"
3.46	3	"B24"	"barley"
3.44	4	"B24"	"barley"
3.32	1	"B25"	"barley"
3.61	2	"B25"	"barley"
3.25	3	"B25"	"barley"
3.48	4	"B25"	"barley"
3.38	1	"BL01"	"barley+lupins"
3.38	2	"BL01"	"barley+lupins"
3.1	3	"BL01"	"barley+lupins"
3.09	4	"BL01"	"barley+lupins"
3.8	1	"BL02"	"barley+lupins"
3.51	2	"BL02"	"barley+lupins"
3.19	3	"BL02"	"barley+lupins"
3.11	4	"BL02"	"barley+lupins"
4.17	1	"BL03"	"barley+lupins"
3.71	2	"BL03"	"barley+lupins"
3.32	3	"BL03"	"barley+lupins"
3.1	4	"BL03"	"barley+lupins"
4.59	1	"BL04"	"barley+lupins"
3.86	2	"BL04"	"barley+lupins"
3.62	3	"BL04"	"barley+lupins"
3.6	4	"BL04"	"barley+lupins"
4.07	1	"BL05"	"barley+lupins"
3.45	2	"BL05"	"barley+lupins"
3.56	3	"BL05"	"barley+lupins"
3.1	4	"BL05"	"barley+lupins"
4.32	1	"BL06"	"barley+lupins"
3.37	2	"BL06"	"barley+lupins"
3.47	3	"BL06"	"barley+lupins"
3.46	4	"BL06"	"barley+lupins"
3.56	1	"BL07"	"barley+lupins"
3.14	2	"BL07"	"barley+lupins"
3.6	3	"BL07"	"barley+lupins"
3.36	4	"BL07"	"barley+lupins"
3.67	1	"BL08"	"barley+lupins"
3.33	2	"BL08"	"barley+lupins"
3.2	3	"BL08"	"barley+lupins"
2.72	4	"BL08"	"barley+lupins"
4.15	1	"BL09"	"barley+lupins"
3.55	2	"BL09"	"barley+lupins"
3.27	3	"BL09"	"barley+lupins"
3.27	4	"BL09"	"barley+lupins"
3.51	1	"BL10"	"barley+lupins"
3.9	2	"BL10"	"barley+lupins"
2.75	3	"BL10"	"barley+lupins"
3.37	4	"BL10"	"barley+lupins"
4.2	1	"BL11"	"barley+lupins"
3.31	2	"BL11"	"barley+lupins"
3.3	3	"BL11"	"barley+lupins"
3.32	4	"BL11"	"barley+lupins"
4.12	1	"BL12"	"barley+lupins"
3.56	2	"BL12"	"barley+lupins"
3.58	3	"BL12"	"barley+lupins"
3.47	4	"BL12"	"barley+lupins"
3.52	1	"BL13"	"barley+lupins"
3.64	2	"BL13"	"barley+lupins"
3.1	3	"BL13"	"barley+lupins"
3.19	4	"BL13"	"barley+lupins"
4.08	1	"BL14"	"barley+lupins"
3.62	2	"BL14"	"barley+lupins"
3.55	3	"BL14"	"barley+lupins"
3.43	4	"BL14"	"barley+lupins"
4.02	1	"BL15"	"barley+lupins"
3.45	2	"BL15"	"barley+lupins"
3.28	3	"BL15"	"barley+lupins"
3.31	4	"BL15"	"barley+lupins"
3.18	1	"BL16"	"barley+lupins"
3.12	2	"BL16"	"barley+lupins"
2.87	3	"BL16"	"barley+lupins"
3.04	4	"BL16"	"barley+lupins"
4.11	1	"BL17"	"barley+lupins"
4.09	2	"BL17"	"barley+lupins"
3.54	3	"BL17"	"barley+lupins"
3.15	4	"BL17"	"barley+lupins"
3.27	1	"BL18"	"barley+lupins"
3.1	2	"BL18"	"barley+lupins"
3.14	3	"BL18"	"barley+lupins"
2.8	4	"BL18"	"barley+lupins"
3.27	1	"BL19"	"barley+lupins"
3.4	2	"BL19"	"barley+lupins"
3.5	3	"BL19"	"barley+lupins"
3.38	4	"BL19"	"barley+lupins"
3.97	1	"BL20"	"barley+lupins"
3.6	2	"BL20"	"barley+lupins"
3.5	3	"BL20"	"barley+lupins"
3.5	4	"BL20"	"barley+lupins"
3.31	1	"BL21"	"barley+lupins"
3.42	2	"BL21"	"barley+lupins"
3.24	3	"BL21"	"barley+lupins"
3.38	4	"BL21"	"barley+lupins"
4.12	1	"BL22"	"barley+lupins"
3.25	2	"BL22"	"barley+lupins"
3.14	3	"BL22"	"barley+lupins"
3	4	"BL22"	"barley+lupins"
3.92	1	"BL23"	"barley+lupins"
3.55	2	"BL23"	"barley+lupins"
3.74	3	"BL23"	"barley+lupins"
3.46	4	"BL23"	"barley+lupins"
3.78	1	"BL24"	"barley+lupins"
3.4	2	"BL24"	"barley+lupins"
3.17	3	"BL24"	"barley+lupins"
3.28	4	"BL24"	"barley+lupins"
4	1	"BL25"	"barley+lupins"
3.74	2	"BL25"	"barley+lupins"
3.48	3	"BL25"	"barley+lupins"
3.75	4	"BL25"	"barley+lupins"
4.37	1	"BL26"	"barley+lupins"
4.06	2	"BL26"	"barley+lupins"
3.77	3	"BL26"	"barley+lupins"
3.4	4	"BL26"	"barley+lupins"
3.79	1	"BL27"	"barley+lupins"
